,CODGEO,TP6020
1782,05089,
1783,05090,
1784,05091,
1785,05092,
1786,05093,
1787,05094,
1788,05095,
1789,05096,
1790,05097,
1791,05098,
1792,05099,
1793,05100,
1794,05101,
1795,05102,
1796,05103,
1797,05104,
1798,05106,
1799,05107,
1800,05108,
1801,05109,
1802,05110,
1803,05111,
1804,05112,
1805,05113,
1806,05114,
1807,05115,
1808,05116,
1809,05117,
1810,05118,
1811,05119,
1812,05121,
1813,05122,
1814,05123,
1815,05124,
1816,05126,
1817,05127,
1818,05128,
1819,05129,
1820,05130,
1821,05131,
1822,05132,14.0
1823,05133,
1824,05134,
1825,05135,
1826,05136,
1827,05139,
1828,05140,
1829,05142,
1830,05144,
1831,05145,
1832,05146,
1833,05147,
1834,05148,
1835,05149,
1836,05151,
1837,05152,
1838,05153,
1839,05154,
1840,05155,
1841,05156,
1842,05157,
1843,05158,
1844,05159,
1845,05160,
1846,05161,
1847,05162,
1848,05163,
1849,05164,
1850,05165,
1851,05166,
1852,05167,
1853,05168,
1854,05169,
1855,05170,
1856,05171,
1857,05172,
1858,05173,
1859,05174,
1860,05176,
1861,05177,
1862,05178,
1863,05179,17.0
1864,05180,
1865,05181,
1866,05182,
1867,05183,
1868,05184,
1869,06001,
1870,06002,
1871,06003,
1872,06004,14.0
1873,06005,
1874,06006,
1875,06007,8.0
1876,06008,
1877,06009,
1878,06010,11.0
1879,06011,17.0
1880,06012,20.0
1881,06013,
1882,06014,
1883,06015,
1884,06016,
1885,06017,
1886,06018,8.0
1887,06019,
1888,06020,
1889,06021,
1890,06022,
1891,06023,
1892,06024,
1893,06025,
1894,06026,
1895,06027,13.0
1896,06028,
1897,06029,21.0
1898,06030,17.0
1899,06031,
1900,06032,12.0
1901,06033,13.0
1902,06034,
1903,06035,
1904,06036,
1905,06037,
1906,06038,9.0
1907,06039,
1908,06040,
1909,06041,
1910,06042,
1911,06043,
1912,06044,10.0
1913,06045,
1914,06046,
1915,06047,
1916,06048,10.0
1917,06049,
1918,06050,
1919,06051,
1920,06052,
1921,06053,
1922,06054,15.0
1923,06055,
1924,06056,
1925,06057,13.0
1926,06058,
1927,06059,11.0
1928,06060,
1929,06061,
1930,06062,
1931,06063,
1932,06064,8.0
1933,06065,7.0
1934,06066,
1935,06067,
1936,06068,
1937,06069,15.0
1938,06070,
1939,06071,
1940,06072,
1941,06073,
1942,06074,
1943,06075,9.0
1944,06076,
1945,06077,
1946,06078,
1947,06079,13.0
1948,06080,
1949,06081,
1950,06082,
1951,06083,17.0
1952,06084,9.0
1953,06085,11.0
1954,06086,
1955,06087,
1956,06088,21.0
1957,06089,8.0
1958,06090,9.0
1959,06091,14.0
1960,06092,
1961,06093,
1962,06094,
1963,06095,9.0
1964,06096,
1965,06097,
1966,06098,
1967,06099,
1968,06100,
1969,06101,
1970,06102,
1971,06103,
1972,06104,14.0
1973,06105,7.0
1974,06106,
1975,06107,
1976,06108,7.0
1977,06109,
1978,06110,
1979,06111,
1980,06112,7.0
1981,06113,
1982,06114,16.0
1983,06115,
1984,06116,
1985,06117,
1986,06118,11.0
