CODGEO,Taux_chomage,taux_sans_diplome,taux_maison_princ,taux_loc_princ,taux_inactifs,TP6020,pop_tot
01283,17.45,37.37,28.06,60.71,16.88,27.0,22724
01289,11.84,19.95,64.86,31.44,14.58,8.0,6735
01304,10.3,19.53,70.29,29.44,12.91,13.0,2957
01305,11.31,32.62,46.93,47.72,12.25,15.0,2238
01313,10.17,7.56,44.68,39.66,12.82,13.0,9193
01320,7.79,17.89,89.55,22.07,11.92,6.0,3925
01322,6.23,16.46,87.82,19.87,14.32,5.0,5192
01344,8.18,15.59,78.33,28.17,13.48,8.0,6137
01348,8.21,23.46,81.19,23.49,13.7,9.0,3069
01354,10.21,11.7,28.24,49.64,13.16,17.0,14463
01376,12.61,24.33,45.65,35.06,14.55,11.0,4107
01384,15.3,26.82,53.86,38.85,14.21,21.0,2201
01419,8.83,8.86,58.56,30.33,12.31,13.0,6299
01427,10.41,20.0,45.58,46.32,13.55,11.0,7108
01435,10.16,10.2,76.27,31.15,12.89,11.0,2215
01443,8.46,21.08,56.97,32.27,13.03,7.0,5040
01451,9.02,17.87,81.25,28.27,14.78,8.0,6817
01457,10.44,25.85,76.65,36.27,15.23,13.0,3240
02018,16.94,24.15,82.74,30.28,16.42,15.0,2641
02028,10.84,21.93,96.17,29.28,14.2,11.0,2656
02059,28.91,33.78,70.87,50.16,18.87,28.0,2746
02064,18.58,33.71,65.65,43.11,15.87,17.0,3829
